source,excerpt,place,agent,excerptStarts,excerptEnds,sourceSize,placeInSource,agentInSource,placeInExcerpt,agentInExcerpt,placeDistanceFromExcerpt,agentDistanceFromExcerpt
autobiographyimg01dela,1444158003640,"http://dbpedia.org/resource/London","http://dbpedia.org/resource/Mary_Delany",837107,837744,1133206,131,44,0,0,-1428092,-1355261
cu31924022334563,1438616254874,"http://dbpedia.org/resource/Her_Majesty's_Theatre","",175114,176690,827587,36,0,0,0,-1471656,-1
cu31924022334563,1438678872682,"http://dbpedia.org/resource/Her_Majesty's_Theatre","",204536,204998,827587,36,0,0,0,-1443348,-1
musicallettersf00unkngoog,1448394918930,"","",293978,294297,571646,0,0,0,0,-1,-1
reminiscencesofm02kellrich,1437411277724,"http://dbpedia.org/resource/Limerick","",350226,350751,520572,8,0,1,0,0,-1
musicallettersf00unkngoog,1448287490368,"","",120751,123385,571646,0,0,0,0,-1,-1
igorstravinskyan011583mbp,1435674909834,"http://dbpedia.org/resource/Amsterdam","http://dbpedia.org/resource/Igor_Stravinsky",249401,249956,325553,5,7,1,0,0,-398317
jimmygloverhisbo00glovuoft,1437471397525,"","",350644,351292,527026,0,0,0,0,-1,-1
reminiscencesofm02kellrich,1436889057877,"http://dbpedia.org/resource/Drury_Lane","",184044,184423,520572,21,0,1,0,0,-1
musingsmemorieso00hensuoft,1514888040135,"","",272848,274462,516273,0,0,0,0,-1,-1
reminiscencesofm01kellrich,1428156251387,"http://dbpedia.org/resource/Florence","",163375,165210,501477,33,0,0,0,-485199,-1
diaryofwilliampl01jaco,1447520763175,"","",168444,170458,1148331,0,0,0,0,-1,-1
memoriesofmusici00ganzuoft,1436282832945,"http://dbpedia.org/resource/Bond_Street","",258754,259562,492418,5,0,1,0,0,-1
musicallettersf00unkngoog,1448359878707,"","",265791,267091,571646,0,0,0,0,-1,-1
westminsterpilgr00briduoft,1432984504343,"http://dbpedia.org/resource/Westminster_Abbey","",420736,421599,663181,154,0,0,0,-899906,-1
thirtyyearsofmus00kleiuoft,1439303077877,"http://dbpedia.org/resource/London","",204702,205477,565930,409,0,0,0,-923752,-1
reminiscencesofm02kellrich,1437239674324,"http://dbpedia.org/resource/Drury_Lane","",263038,263266,520572,21,0,0,0,-672888,-1
jimmygloverhisbo00glovuoft,1437471855423,"","",351318,351855,527026,0,0,0,0,-1,-1
westminsterpilgr00briduoft,1432737524261,"","",76323,77905,663181,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448275023016,"","",26253,26834,571646,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448659261066,"","",322714,323579,571646,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448313800274,"","",179025,179319,571646,0,0,0,0,-1,-1
thirtyyearsofmus00klei,1438596375620,"","",500735,501899,578001,0,0,0,0,-1,-1
